Unnamed: 0,PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
502,1628425,0,0,88,4.0,1305.0,158,366,0.43169300000000005,63.0,174.0,0.362068,31,38,0.815789,45.0,200.0,245.0,69,43.0,17.0,46.0,128,410
503,2357,0,0,134,1.0,1652.0,202,526,0.38403000000000004,30.0,85.0,0.352941,93,121,0.768595,41.0,125.0,166.0,266,64.0,4.0,143.0,95,527
504,76268,0,0,359,105.0,6005.0,860,1969,0.43676899999999996,36.0,139.0,0.258992,407,566,0.7190810000000001,352.0,414.0,766.0,563,234.0,40.0,392.0,751,2163
505,1628972,0,0,23,0.0,168.0,21,54,0.388888,4.0,12.0,0.333333,11,14,0.785714,4.0,26.0,30.0,22,8.0,1.0,6.0,12,57
506,76287,0,0,35,0.0,0.0,18,50,0.36,0.0,0.0,0.0,14,29,0.482758,0.0,0.0,0.0,8,0.0,0.0,0.0,20,50
507,76288,0,0,16,0.0,128.0,15,30,0.5,0.0,0.0,0.0,7,18,0.388888,15.0,11.0,26.0,3,6.0,5.0,6.0,24,37
508,1628973,0,0,37,9.0,623.0,92,213,0.431924,21.0,66.0,0.318181,30,44,0.681818,11.0,50.0,61.0,76,20.0,1.0,30.0,51,235
509,1594,0,0,337,51.0,4530.0,397,1050,0.37809499999999996,100.0,276.0,0.362318,196,283,0.692579,85.0,362.0,447.0,876,201.0,21.0,356.0,362,1090
510,1627852,0,0,58,2.0,531.0,52,143,0.363636,29.0,97.0,0.298969,17,22,0.772727,26.0,72.0,98.0,47,17.0,8.0,26.0,43,150
511,76289,0,0,566,0.0,11451.0,1501,3665,0.409549,0.0,0.0,0.0,720,1043,0.690316,0.0,1593.0,1593.0,1700,0.0,0.0,0.0,1729,3722
512,76290,0,0,606,105.0,12845.0,2093,4648,0.450301,23.0,115.0,0.2,1043,1404,0.742877,825.0,1616.0,2441.0,1049,519.0,201.0,935.0,1635,5252
513,977,0,0,1346,1198.0,48654.0,11719,26200,0.44728999999999997,1827.0,5546.0,0.329426,8378,10011,0.836879,1499.0,5548.0,7047.0,6306,1944.0,640.0,4010.0,3353,33643
514,95,0,0,797,198.0,13474.0,1739,3481,0.499569,1.0,12.0,0.083333,834,1196,0.6973239999999999,1120.0,1872.0,2992.0,491,330.0,195.0,661.0,2018,4313
515,1628418,0,0,50,29.0,715.0,136,215,0.632558,11.0,40.0,0.275,54,66,0.818181,51.0,155.0,206.0,38,16.0,30.0,25.0,54,337
516,76291,0,0,102,43.0,1395.0,134,329,0.407294,0.0,0.0,0.0,55,96,0.572916,128.0,246.0,374.0,112,35.0,40.0,71.0,196,323
517,76292,0,0,3,0.0,10.0,0,2,0.0,0.0,0.0,0.0,4,6,0.666666,0.0,2.0,2.0,0,2.0,1.0,1.0,5,4
518,76293,0,0,65,0.0,740.0,153,339,0.45132700000000003,0.0,0.0,0.0,69,110,0.627272,0.0,265.0,265.0,43,0.0,0.0,0.0,124,375
519,76294,0,0,18,0.0,75.0,9,33,0.272727,0.0,1.0,0.0,5,6,0.833333,5.0,2.0,7.0,10,2.0,1.0,11.0,10,23
520,76295,0,0,68,0.0,723.0,163,377,0.43236,0.0,0.0,0.0,85,137,0.620437,0.0,240.0,240.0,44,0.0,0.0,0.0,120,411
521,1761,0,0,570,117.0,10893.0,1120,2491,0.449618,239.0,716.0,0.333798,399,527,0.757115,457.0,1136.0,1593.0,719,454.0,111.0,394.0,1342,2878
522,76296,0,0,719,514.0,16245.0,2546,5527,0.46064700000000003,7.0,38.0,0.18421052631578946,830,1264,0.656645,598.0,1371.0,1969.0,3114,1337.0,80.0,1382.0,2097,5929
523,76297,0,0,353,0.0,6389.0,962,2092,0.459847,0.0,0.0,0.0,581,852,0.681924,0.0,1623.0,1623.0,337,0.0,0.0,0.0,814,2505
524,201978,0,0,407,50.0,7998.0,1188,2766,0.429501,413.0,1172.0,0.352389,409,513,0.79727,238.0,1002.0,1240.0,473,213.0,65.0,310.0,485,3198
525,76298,0,0,253,0.0,1126.0,684,2000,0.342,0.0,0.0,0.0,669,884,0.756787,0.0,684.0,684.0,471,0.0,0.0,0.0,859,2037
526,146,0,0,720,29.0,8437.0,961,2221,0.432687,263.0,718.0,0.366295,200,316,0.632911,431.0,835.0,1266.0,560,314.0,144.0,297.0,732,2385
527,1934,0,0,230,38.0,4182.0,630,1530,0.411764,74.0,247.0,0.299595,138,182,0.7582409999999999,117.0,481.0,598.0,179,115.0,31.0,140.0,332,1472
528,672,0,0,615,79.0,8883.0,1215,2907,0.41795600000000005,599.0,1561.0,0.383728,241,314,0.767515,278.0,945.0,1223.0,535,186.0,119.0,319.0,775,3270
529,203493,0,0,244,94.0,4431.0,577,1312,0.43978599999999995,301.0,752.0,0.400265,118,142,0.8309850000000001,83.0,394.0,477.0,256,114.0,26.0,126.0,228,1573
530,76300,0,0,12,0.0,97.0,9,26,0.34615300000000004,0.0,0.0,0.0,10,12,0.833333,9.0,8.0,17.0,4,3.0,3.0,5.0,10,28
531,76301,0,0,26,0.0,271.0,29,107,0.27102800000000005,0.0,0.0,0.0,34,48,0.708333,0.0,28.0,28.0,17,0.0,0.0,0.0,40,92
532,76302,0,0,42,0.0,713.0,118,299,0.394648,0.0,0.0,0.0,88,143,0.615384,0.0,252.0,252.0,36,0.0,0.0,0.0,119,324
533,76303,0,0,63,0.0,623.0,149,354,0.42090299999999997,0.0,0.0,0.0,51,85,0.6,26.0,40.0,66.0,63,48.0,1.0,0.0,89,349
534,2469,0,0,127,8.0,1296.0,199,488,0.40778600000000004,9.0,36.0,0.25,61,92,0.663043,90.0,176.0,266.0,44,28.0,40.0,87.0,180,468
535,203504,0,0,332,125.0,7979.0,1402,3473,0.403685,417.0,1230.0,0.339024,394,494,0.79757,121.0,579.0,700.0,1223,194.0,38.0,450.0,472,3615
536,76304,0,0,6,0.0,30.0,0,4,0.0,0.0,1.0,0.0,5,6,0.833333,2.0,4.0,6.0,5,6.0,2.0,3.0,6,5
537,202692,0,0,407,59.0,8669.0,1372,3240,0.42345600000000005,279.0,776.0,0.359536,946,1228,0.770358,243.0,983.0,1226.0,688,246.0,71.0,516.0,718,3969
538,2766,0,0,81,1.0,791.0,79,204,0.387254,4.0,17.0,0.235294,24,42,0.5714279999999999,5.0,44.0,49.0,104,33.0,1.0,48.0,70,186
539,101207,0,0,39,1.0,340.0,22,88,0.25,10.0,54.0,0.185185,16,17,0.941176,4.0,22.0,26.0,48,26.0,2.0,25.0,63,70
540,76305,0,0,446,0.0,9425.0,1568,3526,0.444696,0.0,3.0,0.0,1054,1452,0.725895,918.0,1876.0,2794.0,601,312.0,591.0,236.0,1317,4190
541,76306,0,0,61,0.0,0.0,237,711,0.333333,0.0,0.0,0.0,124,182,0.681318,0.0,0.0,0.0,179,0.0,0.0,0.0,237,598
542,76307,0,0,9,1.0,87.0,7,16,0.4375,0.0,0.0,0.0,9,15,0.6,1.0,4.0,5.0,15,3.0,0.0,13.0,17,23
543,76308,0,0,23,0.0,143.0,22,55,0.4,0.0,0.0,0.0,12,23,0.5217390000000001,13.0,17.0,30.0,9,6.0,3.0,7.0,33,56
544,76309,0,0,3,0.0,11.0,2,7,0.28571399999999997,0.0,0.0,0.0,0,0,0.0,0.0,2.0,2.0,1,0.0,0.0,0.0,1,4
545,197,0,0,383,122.0,7595.0,971,2321,0.418354,339.0,909.0,0.37293699999999996,366,506,0.72332,395.0,937.0,1332.0,527,341.0,180.0,337.0,865,2647
546,76311,0,0,74,0.0,514.0,70,269,0.260223,0.0,0.0,0.0,47,75,0.626666,0.0,205.0,205.0,54,0.0,0.0,0.0,100,187
547,675,0,0,61,3.0,495.0,64,170,0.37646999999999997,0.0,0.0,0.0,61,93,0.655913,45.0,64.0,109.0,15,15.0,10.0,40.0,74,189
548,76313,0,0,81,0.0,1199.0,159,436,0.364678,0.0,0.0,0.0,141,244,0.577868,0.0,357.0,357.0,47,0.0,0.0,0.0,180,459
549,1629126,0,0,15,0.0,131.0,20,46,0.43478199999999995,4.0,13.0,0.307692,5,6,0.833333,1.0,15.0,16.0,5,3.0,5.0,7.0,17,49
550,76314,0,0,15,0.0,70.0,14,34,0.411764,0.0,0.0,0.0,5,11,0.454545,0.0,18.0,18.0,3,0.0,0.0,0.0,16,33
551,416,0,0,316,118.0,6668.0,1090,2569,0.424289,140.0,406.0,0.344827,923,1174,0.786201,326.0,606.0,932.0,393,191.0,121.0,517.0,846,3243
552,76316,0,0,101,2.0,1121.0,218,512,0.425781,2.0,14.0,0.14285699999999998,146,210,0.695238,28.0,64.0,92.0,123,49.0,13.0,110.0,195,584
553,76317,0,0,648,103.0,17070.0,1829,4139,0.44189399999999995,169.0,507.0,0.3333333333333333,658,844,0.77962,373.0,1134.0,1507.0,2920,1160.0,97.0,601.0,967,4485
554,76318,0,0,279,0.0,5085.0,610,1535,0.397394,0.0,0.0,0.0,476,757,0.628797,0.0,821.0,821.0,585,0.0,0.0,0.0,699,1696
555,76319,0,0,234,0.0,5055.0,930,2119,0.43888599999999994,0.0,0.0,0.0,422,571,0.739054,0.0,696.0,696.0,530,0.0,0.0,0.0,493,2282
