STATS_ID,PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
815,203109,0,0,508,239,12219,1639,3852,0.425493,654,1926,0.339563,794,1017,0.780727,364,1585,1949,709,491,162,422,1002,4726
816,76483,0,0,683,308,14516,2734,5506,0.496549,0,16,0,1061,1440,0.736805,1166,2659,3825,807,360,171,1152,2037,6529
817,187,0,0,1183,815,33895,8045,16628,0.483822,44,149,0.295302,3326,4711,0.706007,3183,5447,8630,2190,1255,650,2200,3836,19460
818,1907,0,0,199,23,3789,521,1359,0.38337,109,340,0.320588,230,317,0.725552,118,255,373,534,176,32,259,387,1381
819,76487,0,0,654,0,22406,5116,11467,0.446149,0,0,0,3394,4717,0.719525,159,714,6638,2625,115,45,0,2431,13626
820,201967,0,0,692,195,14656,1754,3742,0.468733,212,614,0.345276,369,569,0.648506,796,1851,2647,494,453,335,348,1213,4089
821,76485,0,0,360,0,3792,408,1004,0.406374,0,0,0,196,308,0.636363,1,17,1324,221,2,2,0,502,1012
822,203099,0,0,84,3,605,60,173,0.34682,19,62,0.306451,58,86,0.674418,6,50,56,39,21,2,32,72,197
823,1061,0,0,23,8,201,7,27,0.259259,0,0,0,0,2,0,17,21,38,2,3,11,5,40,14
824,76488,0,0,20,0,166,16,41,0.390243,0,0,0,26,36,0.722222,17,32,49,12,7,2,8,30,58
825,76489,0,0,12,0,0,4,15,0.266666,0,0,0,2,3,0.666666,0,0,0,0,0,0,0,5,10
826,940,0,0,674,137,12419,1545,3263,0.47349,0,16,0,530,985,0.538071,1189,1983,3172,678,341,361,728,1535,3620
827,223,0,0,147,11,1614,157,354,0.443502,2,9,0.222222,78,105,0.742857,124,166,290,60,61,44,75,345,394
828,76492,0,0,123,0,0,159,403,0.39454,0,0,0,284,367,0.773841,0,0,0,149,0,0,0,231,602
829,209,0,0,1083,99,23552,5090,11146,0.456666,1245,3098,0.401872,1245,1476,0.843495,599,2018,2617,1909,985,238,1299,1795,12670
830,2201,0,0,527,411,13112,2578,4734,0.544571,2,2,1,1662,2588,0.642194,947,1778,2725,287,155,384,1174,1562,6820
831,201191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,688,0,0,667,269,13204,1094,2448,0.446895,79,265,0.298113,719,872,0.824541,198,847,1045,804,333,66,459,1523,2986
833,203552,0,0,158,52,3439,529,1138,0.46485,243,548,0.44343,137,161,0.850931,44,250,294,293,117,14,158,222,1438
834,201939,0,0,659,653,22700,5354,11195,0.478249,2313,5281,0.437985,2427,2683,0.904584,467,2473,2940,4412,1150,141,2073,1643,15448
835,687,0,0,14,0,48,5,16,0.3125,0,1,0,0,4,0,4,7,11,3,2,1,3,11,10
836,76505,0,0,130,0,1858,184,469,0.392324,0,0,0,64,87,0.735632,41,145,186,248,152,27,0,239,432
837,76496,0,0,14,0,112,14,38,0.368421,0,0,0,7,7,1,0,22,22,5,0,0,0,16,35
838,76497,0,0,528,140,12170,2936,6460,0.454489,21,133,0.157894,1577,2025,0.778765,421,886,1307,1188,500,51,1025,1231,7470
839,2223,0,0,886,694,21646,2810,5393,0.521045,1,12,0.083333,1193,1689,0.706335,2289,4653,6942,465,437,1546,1271,2601,6814
840,76498,0,0,146,0,0,519,1833,0.283142,0,0,0,370,530,0.698113,0,0,0,340,0,0,0,386,1408
841,956,0,0,987,771,24001,2784,5595,0.497587,2,16,0.125,1739,2779,0.625764,2723,4282,7005,817,330,1398,1435,2869,7309
842,76499,0,0,232,0,4431,692,1418,0.488011,0,0,0,169,226,0.747787,61,200,261,643,171,36,134,219,1553
