FULL_NAME,STATUS,POSITION,MIN,FGM-A,FG3M-A,FTM-A,FIC,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,YEAR,GAME_ID,PLAYER_ID
Kobe Bryant,Starter,SG,28:00,13-24,3-9,2-2,21.2,1,4,5,6,0,4,6,1,31,2007,56,977
Jermaine O'Neal,Bench,C,23:00,4-8,0-0,0-0,9,3,4,7,1,2,0,1,2,8,2007,56,979
Tim Duncan,Starter,C,15:00,2-3,0-0,0-0,9,0,5,5,4,1,0,1,1,4,2007,56,1495
Chauncey Billups,Bench,PG,16:00,3-8,0-3,2-2,10.5,1,3,4,6,0,0,0,0,8,2007,56,1497
Tracy McGrady,Starter,PG,19:00,3-8,2-5,0-0,16.5,1,2,3,11,0,3,2,0,8,2007,56,1503
Vince Carter,Bench,SG,16:00,3-7,0-1,1-2,2.2,0,1,1,2,1,0,1,0,7,2007,56,1713
Dirk Nowitzki,Starter,PF,16:00,4-9,1-2,0-0,8.5,2,3,5,2,0,0,0,0,9,2007,56,1717
Richard Hamilton,Bench,SG,15:00,4-8,0-1,0-0,5.5,2,4,6,1,1,0,2,0,8,2007,56,1888
Shawn Marion,Bench,SF,22:00,9-15,0-1,0-0,18,5,3,8,4,0,2,2,0,18,2007,56,1890
Joe Johnson,Bench,SG,18:00,5-9,2-5,0-0,7.5,0,1,1,2,1,1,1,0,12,2007,56,2207
Tony Parker,Bench,PG,24:00,4-7,0-0,0-0,17.2,0,2,2,10,0,4,1,0,8,2007,56,2225
Gilbert Arenas,Starter,PG,20:00,3-8,2-7,0-0,7.8,0,1,1,4,0,2,1,0,8,2007,56,2240
Mehmet Okur,Bench,PF,15:00,2-2,0-0,0-2,4.2,0,2,2,1,0,0,0,0,4,2007,56,2246
Amar'e Stoudemire,Bench,PF,21:00,14-22,0-1,1-1,27.4,6,3,9,3,2,1,1,5,29,2007,56,2405
