RK,FULL_NAME,TWITTER_ACC
339,Danilo Gallinari\gallida01,gallinari8888
340,Langston Galloway\gallola01,LangGalloway10
341,Patricio Garino\garinpa01,patitogarino
342,Kevin Garnett\garneke01,KevinGarnett5KG
343,Diante Garrett\garredi02,kingarrett10
344,Marc Gasol\gasolma01,MarcGasol
345,Pau Gasol\gasolpa01,paugasol
346,Kaiser Gates\gateska01,Kaisergates
347,Rudy Gay\gayru01,RudyGay8
348,Michael Gbinije\gbinimi01,mikegbinije
349,Alonzo Gee\geeal01,GeeAlonzo
350,Paul George\georgpa01,Yg_Trece
351,Marcus Georges-Hunt\georgma01,GTMGH3
352,Daniel Gibson\gibsoda01,BooBysWorld1
353,Taj Gibson\gibsota01,TajGibson22
354,J.R. Giddens\giddejr01,JGidd4
355,Harry Giles\gilesha01,HGizzle1
356,Shai Gilgeous-Alexander\gilgesh01,shaiglalex
357,Kendall Gill\gillke01,kendallg13
358,Artis Gilmore\gilmoar01,ArtisGilmore53
359,Manu Ginobili\ginobma01,manuginobili
360,Rudy Gobert\goberru01,rudygobert27
361,Ryan Gomes\gomesry01,GotGomes
362,Drew Gooden\goodedr01,DrewGooden
363,Vernon Goodridge\goodrve01,VeEG00D
364,Archie Goodwin\goodwar01,A1Laflare10
365,Brandon Goodwin\goodwbr01,goodysav
366,Aaron Gordon\gordoaa01,Double0AG
367,Eric Gordon\gordoer01,TheofficialEG10
368,Marcin Gortat\gortama01,MGortat
369,Devonte' Graham\grahade01,Devonte4Graham
370,Torian Graham\grahato01,Torian_Graham
371,Treveon Graham\grahatr01,TreBall21
372,Danny Granger\grangda01,dgranger33
373,Brian Grant\grantbr01,bwgrant
374,Jerami Grant\grantje01,JeramiGrant
375,Jerian Grant\grantje02,JerianGrant
376,Donte Grantham\grantdo01,DonteGrantham32
377,Josh Gray\grayjo01,ThatsJoshGray
378,Rob Gray\grayro01,iRob_G
379,A.C. Green\greenac01,NBA_Ironman
380,Danny Green\greenda02,DGreen_14
381,Draymond Green\greendr01,Money23Green
382,Garlon Green\greenga02,G650G
383,JaMychal Green\greenja01,Jmyke1
384,Jeff Green\greenje02,unclejeffgreen
385,Donte Greene\greendo01,dontegreeneCOS
386,Blake Griffin\griffbl01,blakegriffin23
387,Eric Griffin\griffer01,EGRIFFDaSTORY
388,Taylor Griffin\griffta01,tgriff32
389,Arturas Gudaitis\gudaiar01,GudaitisAG
390,Hamed Haddadi\haddaha01,HamedHaddadi15
391,Isaac Hamilton\hamilis01,Isaacham_10
392,Johnny Hamilton\hamiljo03,johnny_tall
393,Jordan Hamilton\hamiljo02,J_Goin_HAM
394,Justin Hamilton\hamilju01,Justin__41
395,Richard Hamilton\hamilri01,ripcityhamilton
396,Ben Hansbrough\hansbbe01,bhans23
397,Tyler Hansbrough\hansbty01,THANS50
398,Travis Hansen\hansetr01,travishansen24
399,Anfernee Hardaway\hardaan01,Iam1Cent
400,Tim Hardaway\hardati01,TimHardawayFDN
401,Tim Hardaway\hardati02,T_HardJR
402,James Harden\hardeja01,JHarden13
403,Maurice Harkless\harklma01,moe_harkless
404,Justin Harper\harpeju01,Tru_Harp32
405,Matt Harpring\harprma01,mharpring15
406,Montrezl Harrell\harremo01,MONSTATREZZ
407,Josh Harrellson\harrejo01,BigJorts55
408,Al Harrington\harrial01,cheddahcheese7
409,Devin Harris\harride01,Dev34Harris
410,Elias Harris\harriel01,EliasJMHarris
411,Gary Harris\harriga01,thats_G_
412,Joe Harris\harrijo01,JoeHarris4
413,Manny Harris\harrima01,313MannyHarris
414,Mike Harris\harrimi01,TheRealMH33
415,Terrel Harris\harrite01,T_Harris87
416,Tobias Harris\harrito02,tobias31
417,Aaron Harrison\harriaa01,AaronICE2
418,Andrew Harrison\harrian01,DrewRoc5
419,Josh Hart\hartjo01,joshhart
420,Isaiah Hartenstein\harteis01,Ipjh55
421,Tyler Harvey\harvety01,YoungTRaaw
422,Udonis Haslem\hasleud01,ThisIsUD
423,Spencer Hawes\hawessp01,spencerhawes00
424,Chuck Hayes\hayesch01,c_hayes44
425,Nigel Hayes\hayesni01,NIGEL_HAYES
426,Gordon Hayward\haywago01,gordonhayward
427,Spencer Haywood\haywosp01,SpencerHaywood
428,Gerald Henderson\hendege02,GhJr09
429,Terry Henderson\hendete01,t_henny3
430,Myke Henry\henrymy01,mykehenry20
431,Xavier Henry\henryxa01,XavierHenry
