,FULL_NAME,STATUS,POSITION,MIN,FGM-A,FG3M-A,FTM-A,FIC,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,YEAR
4,Jermaine O'Neal,Starter,PF,28:00,7-13,0-0,2-4,13.0,2.0,7,9,2,0,1,2,0,16,2004.0
5,Ben Wallace,Starter,C,23:00,2-5,0-1,0-0,10.0,2.0,5,7,0,0,3,0,1,4,2004.0
6,Metta World Peace,Bench,SF,17:00,3-5,0-1,1-2,7.0,1.0,2,3,3,2,1,1,0,7,2004.0
7,Baron Davis,Bench,PG,16:00,3-9,1-6,0-0,7.2,0.0,0,0,7,0,1,1,0,7,2004.0
8,Jason Kidd,Bench,PG,22:00,4-6,3-4,3-4,18.8,0.0,3,3,10,1,2,3,0,14,2004.0
9,Jamaal Magloire,Bench,C,21:00,9-16,0-0,1-2,13.0,3.0,5,8,0,2,1,1,1,19,2004.0
10,Kenyon Martin,Bench,PF,23:00,8-10,0-0,1-2,14.5,4.0,3,7,3,1,0,3,0,17,2004.0
11,Paul Pierce,Bench,SF,13:00,4-8,0-1,0-0,3.8,0.0,1,1,2,2,1,1,0,8,2004.0
12,Michael Redd,Bench,SG,15:00,5-12,3-6,0-0,10.8,2.0,1,3,2,0,3,1,0,13,2004.0
1,Kobe Bryant,Starter,SG,36:00,9-12,2-3,0-1,16.4,1.0,3,4,4,3,5,6,1,20,2004.0
2,Tim Duncan,Starter,PF,26:00,6-11,0-0,2-4,17.5,2.0,11,13,5,2,1,2,0,14,2004.0
3,Steve Francis,Starter,PG,23:00,6-9,1-2,0-0,12.0,1.0,3,4,4,1,0,1,0,13,2004.0
4,Kevin Garnett,Starter,SF,29:00,6-14,0-1,0-0,15.5,3.0,4,7,6,0,2,1,1,12,2004.0
5,Yao Ming,Starter,C,18:00,8-14,0-2,0-0,9.0,2.0,2,4,1,2,0,0,0,16,2004.0
6,Ray Allen,Bench,SG,23:00,6-13,1-4,3-4,8.5,2.0,1,3,4,2,1,3,0,16,2004.0
7,Sam Cassell,Bench,PG,13:00,2-3,0-0,0-0,9.5,0.0,1,1,7,0,1,1,0,4,2004.0
8,Andrei Kirilenko,Bench,SF,12:00,1-3,0-1,0-0,1.5,0.0,1,1,0,0,0,0,1,2,2004.0
9,Brad Miller,Bench,C,10:00,4-5,0-0,0-0,4.8,1.0,2,3,0,0,0,2,0,8,2004.0
10,Dirk Nowitzki,Bench,PF,13:00,1-3,0-1,0-0,0.8,0.0,0,0,1,0,2,2,0,2,2004.0
11,Shaquille O'Neal,Bench,C,24:00,12-19,0-0,0-1,18.4,5.0,6,11,1,3,2,4,2,24,2004.0
12,Peja Stojakovic,Bench,SF,13:00,2-5,1-4,0-0,1.0,0.0,1,1,1,0,0,2,0,5,2004.0
1,Kobe Bryant,Starter,SG,36:00,8-17,3-5,3-6,16.2,2.0,5,7,6,5,3,5,2,22,2003.0
